cluster,cRL,nir_SA,nir_CT,nir_press,ca_SA,cs_SA,ca_CT,cs_CT,ca_press,cs_press,nzca_pcs_press,trd_CT,trdR2_CT,trd_CT-fit,trdR2_CT-fit,trd_press,trdR2_press,trd_press-fit,trdR2_press-fit,nztrd_pcs_press,nztrdR2_pcs_press,percnztrd_pcs_press,SA_min,ca_iT,ca_cp,ca_rho,ca_FH,ca_FH_cumul
0,$-11.8$,$1.6$,$917.9$,$449.9$,$34.133{\pm}0.015$,0.057430267333984375,$-1.11{\pm}0.15$,0.9089782238006592,$218.94{\pm}30.49$,194.6990966796875,$1.68{\pm}0.90$,$(2.631{\pm}0.006){\times} 10^{-2}$,$0.80$,$(2.391{\pm}0.006){\times} 10^{-2}$,$0.77$,$3.96{\pm}0.02$,$0.43$,$3.22{\pm}0.01$,$0.65$,$(-3.14{\pm}0.17){\times} 10^{-2}$,$0.03$,$-1.86{\pm}0.10$,$34.100$,$0.755$,$3973.781$,$1029.872$,$0.005$,$0.000$
1,$-9.0$,$1.1$,$779.5$,$58.7$,$34.1690{\pm}0.0053$,0.020214080810546875,$-1.11{\pm}0.16$,0.7719197869300842,$215.91{\pm}30.65$,178.1505889892578,$0.53{\pm}0.32$,$(2.733{\pm}0.010){\times} 10^{-2}$,$0.82$,$(2.31{\pm}0.01){\times} 10^{-2}$,$0.75$,$3.81{\pm}0.03$,$0.43$,$2.96{\pm}0.02$,$0.60$,$(-2.16{\pm}0.08){\times} 10^{-2}$,$0.13$,$-4.07{\pm}0.15$,$34.159$,$0.647$,$3975.725$,$1029.595$,$0.002$,$0.002$
2,$-8.7$,$0.9$,$34.2$,$410.5$,$34.1866{\pm}0.0037$,0.015613555908203125,$-1.08{\pm}0.16$,1.0920798778533936,$219.38{\pm}30.98$,177.63662719726562,$0.41{\pm}0.21$,$(2.728{\pm}0.010){\times} 10^{-2}$,$0.84$,$(2.34{\pm}0.01){\times} 10^{-2}$,$0.77$,$3.70{\pm}0.03$,$0.43$,$2.95{\pm}0.02$,$0.61$,$(-8.36{\pm}0.56){\times} 10^{-3}$,$0.05$,$-2.02{\pm}0.13$,$34.179$,$0.505$,$3976.711$,$1029.458$,$0.001$,$0.003$
3,$-8.1$,$1.3$,$67.1$,$134.4$,$34.2045{\pm}0.0040$,0.0165252685546875,$-1.05{\pm}0.17$,1.1532058715820312,$224.39{\pm}31.15$,180.83941650390625,$0.42{\pm}0.24$,$(2.64{\pm}0.01){\times} 10^{-2}$,$0.76$,$(2.34{\pm}0.01){\times} 10^{-2}$,$0.71$,$3.47{\pm}0.04$,$0.37$,$3.02{\pm}0.02$,$0.62$,$(-5.56{\pm}0.61){\times} 10^{-3}$,$0.02$,$-1.31{\pm}0.14$,$34.195$,$0.357$,$3977.908$,$1029.293$,$0.001$,$0.004$
4,$-8.7$,$0.9$,$50.3$,$134.1$,$34.2175{\pm}0.0032$,0.01194000244140625,$-1.03{\pm}0.15$,0.8634915351867676,$227.18{\pm}29.31$,183.2890167236328,$0.38{\pm}0.19$,$(2.68{\pm}0.01){\times} 10^{-2}$,$0.75$,$(2.41{\pm}0.01){\times} 10^{-2}$,$0.73$,$3.60{\pm}0.04$,$0.33$,$3.03{\pm}0.02$,$0.57$,$(7.02{\pm}6.96){\times} 10^{-4}$,$2.55{\times}10^{-4}$,$0.18{\pm}0.18$,$34.211$,$0.297$,$3978.100$,$1029.268$,$0.001$,$0.005$
5,$-8.1$,$1.1$,$213.9$,$564.8$,$34.2327{\pm}0.0045$,0.017459869384765625,$-1.00{\pm}0.15$,0.8879209160804749,$228.55{\pm}30.37$,187.93299865722656,$0.49{\pm}0.30$,$(2.56{\pm}0.01){\times} 10^{-2}$,$0.74$,$(2.322{\pm}0.010){\times} 10^{-2}$,$0.72$,$3.43{\pm}0.03$,$0.34$,$3.00{\pm}0.02$,$0.59$,$(-8.73{\pm}0.71){\times} 10^{-3}$,$0.02$,$-1.77{\pm}0.14$,$34.223$,$0.226$,$3978.508$,$1029.212$,$0.001$,$0.007$
6,$-7.9$,$1.1$,$37.6$,$237.5$,$34.2491{\pm}0.0042$,0.017452239990234375,$-0.96{\pm}0.15$,0.8717246055603027,$230.98{\pm}29.58$,188.83998107910156,$0.51{\pm}0.30$,$(2.474{\pm}0.010){\times} 10^{-2}$,$0.76$,$(2.292{\pm}0.009){\times} 10^{-2}$,$0.75$,$3.13{\pm}0.03$,$0.30$,$2.85{\pm}0.02$,$0.58$,$(-9.44{\pm}0.74){\times} 10^{-3}$,$0.02$,$-1.87{\pm}0.15$,$34.241$,$0.130$,$3979.006$,$1029.145$,$0.002$,$0.008$
7,$-7.5$,$1.3$,$172.9$,$177.7$,$34.2663{\pm}0.0035$,0.014698028564453125,$-0.94{\pm}0.14$,0.8700082302093506,$233.48{\pm}28.83$,185.96437072753906,$0.48{\pm}0.29$,$(2.40{\pm}0.01){\times} 10^{-2}$,$0.73$,$(2.212{\pm}0.009){\times} 10^{-2}$,$0.72$,$3.05{\pm}0.03$,$0.27$,$2.73{\pm}0.02$,$0.55$,$(-4.09{\pm}7.62){\times} 10^{-4}$,$4.53{\times}10^{-5}$,$(-8.43{\pm}15.72){\times} 10^{-2}$,$34.258$,$0.064$,$3979.310$,$1029.105$,$0.001$,$0.010$
8,$-8.0$,$0.9$,$204.4$,$140.7$,$34.2779{\pm}0.0027$,0.010105133056640625,$-0.99{\pm}0.14$,0.848767101764679,$223.05{\pm}29.26$,189.37939453125,$0.38{\pm}0.21$,$(2.36{\pm}0.01){\times} 10^{-2}$,$0.66$,$(2.09{\pm}0.01){\times} 10^{-2}$,$0.62$,$3.19{\pm}0.05$,$0.26$,$3.06{\pm}0.03$,$0.52$,$(6.72{\pm}81.15){\times} 10^{-5}$,$1.92{\times}10^{-6}$,$(1.76{\pm}21.22){\times} 10^{-2}$,$34.273$,$-2.740{\times}10^{-4}$,$3979.239$,$1029.117$,$0.001$,$0.011$
9,$-7.5$,$1.2$,$176.9$,$1823.8$,$34.2898{\pm}0.0032$,0.013774871826171875,$-0.94{\pm}0.14$,0.8901857733726501,$229.26{\pm}30.00$,176.0465087890625,$0.47{\pm}0.24$,$(2.468{\pm}0.008){\times} 10^{-2}$,$0.79$,$(2.209{\pm}0.008){\times} 10^{-2}$,$0.77$,$3.37{\pm}0.03$,$0.34$,$2.80{\pm}0.02$,$0.58$,$(-1.45{\pm}0.54){\times} 10^{-3}$,$9.69{\times}10^{-4}$,$-0.31{\pm}0.11$,$34.283$,$-0.029$,$3979.567$,$1029.072$,$0.001$,$0.012$
