Parameter Sweep for BGR0708
13:40 on March 28, 2024
m_pts,ell_size,n_clusters,DBCV,m_cls
1000,2.5 dbar,62,0.2719705527057173,1000
100,2.5 dbar,239,0.048796004933284766,100
1050,2.5 dbar,62,0.21496759043505115,1050
1100,2.5 dbar,62,0.253979803668269,1100
1150,2.5 dbar,60,0.2779772520228053,1150
1200,2.5 dbar,59,0.2901996706996312,1200
1250,2.5 dbar,59,0.2936219949588001,1250
1300,2.5 dbar,58,0.31715754790211237,1300
1350,2.5 dbar,57,0.2982621860657615,1350
1400,2.5 dbar,56,0.2814137431447616,1400
1450,2.5 dbar,54,0.2842813421116766,1450
1500,2.5 dbar,54,0.24439767185178166,1500
150,2.5 dbar,154,0.0494985256683485,150
1550,2.5 dbar,54,0.30505293593629745,1550
1600,2.5 dbar,54,0.24603504807872387,1600
1650,2.5 dbar,52,0.2787736615186399,1650
1700,2.5 dbar,51,0.3037237409739125,1700
1750,2.5 dbar,51,0.2892958385063758,1750
1800,2.5 dbar,51,0.29400236715833783,1800
1850,2.5 dbar,50,0.2802557052304652,1850
1900,2.5 dbar,50,0.2933142827587512,1900
1950,2.5 dbar,50,0.3031822862935186,1950
2000,2.5 dbar,49,0.2601386399183459,2000
200,2.5 dbar,116,0.11927678496512097,200
2050,2.5 dbar,49,0.24225776414672642,2050
2100,2.5 dbar,48,0.23735284784526686,2100
2150,2.5 dbar,46,0.21462374804103404,2150
2200,2.5 dbar,46,0.22563133873592528,2200
2250,2.5 dbar,45,0.2055591495434081,2250
2300,2.5 dbar,44,0.2155790363492291,2300
2350,2.5 dbar,44,0.20139525013923834,2350
2400,2.5 dbar,44,0.1931650591199284,2400
2450,2.5 dbar,44,0.27219149758386735,2450
2500,2.5 dbar,44,0.20270819644503743,2500
250,2.5 dbar,100,0.13298849705412516,250
300,2.5 dbar,94,0.1444597597277105,300
350,2.5 dbar,83,0.1979904690839366,350
400,2.5 dbar,77,0.23832488447902775,400
450,2.5 dbar,75,0.25344200918834275,450
500,2.5 dbar,73,0.2598199085650337,500
50,2.5 dbar,657,0.04252139209996375,50
550,2.5 dbar,72,0.25030910819276,550
600,2.5 dbar,70,0.2419751862153035,600
650,2.5 dbar,67,0.24983311943520684,650
700,2.5 dbar,67,0.25968368034718947,700
750,2.5 dbar,65,0.2368575790225693,750
800,2.5 dbar,65,0.1958352801056822,800
850,2.5 dbar,65,0.21677336802836633,850
900,2.5 dbar,63,0.23599932667663448,900
950,2.5 dbar,62,0.23974862185035267,950
