Parameter Sweep for BGR1718
13:40 on April 4, 2024
m_pts,ell_size,n_clusters,DBCV,m_cls
1000,2.5 dbar,44,0.13787863255440339,1000
100,2.5 dbar,130,0.1367168759532686,100
1050,2.5 dbar,41,0.15459910991359316,1050
1100,2.5 dbar,39,0.15473018249650577,1100
1150,2.5 dbar,38,0.18694447577047119,1150
1200,2.5 dbar,36,0.17213872086322177,1200
1250,2.5 dbar,36,0.17682049635434613,1250
1300,2.5 dbar,36,0.14209677417944938,1300
1350,2.5 dbar,36,0.1503242529140403,1350
1400,2.5 dbar,34,0.1750496260843444,1400
1450,2.5 dbar,33,0.15582672526101654,1450
1500,2.5 dbar,30,0.1430683976472635,1500
150,2.5 dbar,107,0.13362950466365048,150
1550,2.5 dbar,29,0.14562286685529366,1550
1600,2.5 dbar,29,0.1455874599954032,1600
1650,2.5 dbar,28,0.13208459959376326,1650
1700,2.5 dbar,27,0.1538125387188545,1700
1750,2.5 dbar,27,0.1521070274421316,1750
1800,2.5 dbar,27,0.1504087052505804,1800
1850,2.5 dbar,27,0.14839450805231957,1850
1900,2.5 dbar,26,0.14726336534510046,1900
1950,2.5 dbar,24,0.12044020172545902,1950
2000,2.5 dbar,23,0.10677693169112155,2000
200,2.5 dbar,98,0.14827138170984577,200
2050,2.5 dbar,22,0.10015438671834381,2050
2100,2.5 dbar,22,0.112130581813348,2100
2150,2.5 dbar,20,0.09975189025629545,2150
2200,2.5 dbar,20,0.10000829841411002,2200
2250,2.5 dbar,20,0.09983303847461528,2250
2300,2.5 dbar,19,0.06512702282548474,2300
2350,2.5 dbar,17,0.03527402492754909,2350
2400,2.5 dbar,17,0.03527198686153297,2400
2450,2.5 dbar,17,0.03526402749497631,2450
2500,2.5 dbar,17,0.06675762345864399,2500
250,2.5 dbar,87,0.14824609267527086,250
300,2.5 dbar,78,0.11787085040325829,300
350,2.5 dbar,77,0.14972384305245542,350
400,2.5 dbar,73,0.14043705183510966,400
450,2.5 dbar,68,0.13725957880001244,450
500,2.5 dbar,67,0.16177204485647798,500
50,2.5 dbar,232,0.08765576429120273,50
550,2.5 dbar,67,0.19733257546307675,550
600,2.5 dbar,67,0.1817057615543678,600
650,2.5 dbar,63,0.182861430187567,650
700,2.5 dbar,61,0.1470794068001185,700
750,2.5 dbar,57,0.17561375185645706,750
800,2.5 dbar,54,0.14056342531595364,800
850,2.5 dbar,54,0.12963300168140465,850
900,2.5 dbar,51,0.1042892465941304,900
950,2.5 dbar,47,0.12874249607414157,950
